titolo,durata,genere,rating,regista,cast,classificazione,film_id
The Idea of You,115.0,"Commedia, Dramma, Romantico",6.4,Michael Showalter,"Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo",VM18,1
Kingdom of the Planet of the Apes,145.0,"Azione, Avventura, Fantascienza",7.3,Wes Ball,"Owen Teague, Freya Allan, Kevin Durand, Peter Macon",VM14,2
Unfrosted,97.0,"Biografia, Commedia, Storico",5.5,Jerry Seinfeld,"Isaac Bae, Jerry Seinfeld, Chris Rickett, Rachael Harris",VM14,3
The Fall Guy,126.0,"Azione, Commedia, Dramma",7.3,David Leitch,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham",VM14,4
Challengers,131.0,"Dramma, Romantico, Sport",7.7,Luca Guadagnino,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling",VM18,5
Abigail,109.0,"Horror, Thriller",6.8,Matt Bettinelli-Olpin,"Tyler Gillett, Melissa Barrera, Dan Stevens, Alisha Weir, William Catlett",VM18,6
Civil War,109.0,"Azione, Avventura, Thriller",7.5,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny, Nick Offerman",VM18,7
Anyone But You,103.0,"Commedia, Romantico",6.1,Will Gluck,"Sydney Sweeney, Glen Powell, Alexandra Shipp, Mia Artemis",VM18,8
The Ministry of Ungentlemanly Warfare,120.0,"Azione, Dramma, Guerra",7.0,Guy Ritchie,"Henry Cavill, Alan Ritchson, Alex Pettyfer, Eiza González",VM18,9
Dune: Part Two,166.0,"Azione, Avventura, Dramma",8.7,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem",VM14,10
Furiosa: A Mad Max Saga,148.0,"Azione, Avventura, Fantascienza",8.3,George Miller,"Anya Taylor-Joy, Chris Hemsworth, Charlee Fraser, Lachy Hulme",VM18,11
Gojira -1.0,124.0,"Azione, Avventura, Dramma",8.0,Takashi Yamazaki,"Minami Hamabe, Ryunosuke Kamiki, Sakura Andô, Rikako Miura",VM14,12
Ghostbusters: Frozen Empire,115.0,"Avventura, Commedia, Fantasy",6.2,Gil Kenan,"Paul Rudd, Carrie Coon, Finn Wolfhard, Mckenna Grace",VM14,13
Love Lies Bleeding,104.0,"Azione, Avventura, Crime",6.8,Rose Glass,"Anna Baryshnikov, Kristen Stewart, Dave Franco, Katy O'Brian",VM18,14
The Judge,141.0,"Crime, Dramma, Mistero",7.4,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton",,15
IF,104.0,"Animazione, Commedia, Dramma",6.8,John Krasinski,"Cailey Fleming, Ryan Reynolds, John Krasinski, Phoebe Waller-Bridge",T,16
Late Night with the Devil,93.0,Horror,7.1,Cameron Cairnes,"Colin Cairnes, David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi",VM18,17
War for the Planet of the Apes,140.0,"Azione, Avventura, Dramma",7.4,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",,18
Monkey Man,121.0,"Azione, Thriller",7.0,Dev Patel,"Dev Patel, Sharlto Copley, Pitobash, Jatin Malik",VM18,19
Shaitaan,132.0,"Horror, Thriller",6.8,Vikas Bahl,"Ajay Devgn, Madhavan, Jyotika, Janki Bodiwala",,20
Tarot,92.0,Horror,5.0,Spenser Cohen,"Anna Halberg, Avantika, Jacob Batalon, Olwen Fouéré, Harriet Slater",VM14,21
Godzilla x Kong: The New Empire,115.0,"Azione, Avventura, Fantasy",6.4,Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle",VM14,22
Poor Things,141.0,"Commedia, Dramma, Romantico",7.9,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef",VM18,23
